year,activity,ptf,index
2018,Servicios sociales,0.484025651499655,108.07211606036664
2019,Servicios sociales,1.22946186677786,109.40902305653749
2020,Servicios sociales,2.264607604362762,111.91497601703237
2021,Servicios sociales,0.09759719797223987,112.02425521578004
2022,Servicios sociales,-0.6500565364832234,111.29839602592988
2023,Servicios sociales,3.47272225290181,115.23137567157325
2024,Servicios sociales,2.744973157275121,118.43825868169309
2005,Total de la economía,,100
2006,Total de la economía,2.205996411408322,102.23050842512262
2007,Total de la economía,-1.386751411319521,100.8226099948465
2008,Total de la economía,-0.8025167062472658,100.01672969309863
2009,Total de la economía,-0.5678534418132021,99.45039076054242
2010,Total de la economía,-0.929584553144964,98.5301988970504
2011,Total de la economía,0.2752486512386846,98.80177552462007
2012,Total de la economía,-0.1579749693463642,98.64581667043178
2013,Total de la economía,0.306614560825448,98.94874327921006
2014,Total de la economía,-0.7006231912463368,98.25790833718966
2015,Total de la economía,0.3862721610498867,98.63818526224388
2016,Total de la economía,-0.5792483290867567,98.06847682850722
2017,Total de la economía,0.118901336283229,98.18515090770286
2018,Total de la economía,0.1551641099456086,98.33761727916196
2019,Total de la economía,0.1445613406672486,98.47987825949643
2020,Total de la economía,-0.7796008846031638,97.71511318844682
2021,Total de la economía,0.6143126189117988,98.31723702713076
2022,Total de la economía,0.04447767008751363,98.36097596976508
2023,Total de la economía,-0.5057410597271336,97.86477991873774
2024,Total de la economía,0.6230836420717408,98.47646302348147
